"name","economy","cylinders","displacement","power","weight","acceleration","year","economy_20mpg"
"AMC Ambassador Brougham",13.0,8,360.0,175,3821,11.0,73,0
"AMC Ambassador DPL",15.0,8,390.0,190,3850,8.5,70,0
"AMC Ambassador SST",17.0,8,304.0,150,3672,11.5,72,0
"AMC Concord DL 6",20.200000000000003,6,232.0,90,3265,18.2,79,1
"AMC Concord DL",18.1,6,258.0,120,3410,15.100000000000001,78,0
"AMC Concord DL",23.0,4,151.0,,3035,20.5,82,1
"AMC Concord",19.400000000000002,6,232.0,90,3210,17.2,78,0
"AMC Concord",24.3,4,151.0,90,3003,20.1,80,1
"AMC Gremlin",18.0,6,232.0,100,2789,15.0,73,0
"AMC Gremlin",19.0,6,232.0,100,2634,13.0,71,0
"AMC Gremlin",20.0,6,232.0,100,2914,16.0,75,0
"AMC Gremlin",21.0,6,199.0,90,2648,15.0,70,1
"AMC Hornet Sportabout (Wagon)",18.0,6,258.0,110,2962,13.5,71,0
"AMC Hornet",18.0,6,199.0,97,2774,15.5,70,0
"AMC Hornet",18.0,6,232.0,100,2945,16.0,73,0
"AMC Hornet",19.0,6,232.0,100,2901,16.0,74,0
"AMC Hornet",22.5,6,232.0,90,3085,17.6,76,1
"AMC Matador (Wagon)",14.0,8,304.0,150,4257,15.5,74,0
"AMC Matador (Wagon)",15.0,8,304.0,150,3892,12.5,72,0
"AMC Matador",14.0,8,304.0,150,3672,11.5,73,0
"AMC Matador",15.0,6,258.0,110,3730,19.0,75,0
"AMC Matador",15.5,8,304.0,120,3962,13.9,76,0
"AMC Matador",16.0,6,258.0,110,3632,18.0,74,0
"AMC Matador",18.0,6,232.0,100,3288,15.5,71,0
"AMC Pacer D/L",17.5,6,258.0,95,3193,17.8,76,0
"AMC Pacer",19.0,6,232.0,90,3211,17.0,75,0
"AMC Rebel SST (Wagon)",,8,360.0,175,3850,11.0,70,
"AMC Rebel SST",16.0,8,304.0,150,3433,12.0,70,0
"AMC Spirit DL",27.400000000000002,4,121.0,80,2670,15.0,79,1
"Audi 100 LS",20.0,4,114.0,91,2582,14.0,73,0
"Audi 100 LS",23.0,4,115.0,95,2694,15.0,75,1
"Audi 100 LS",24.0,4,107.0,90,2430,14.5,70,1
"Audi 4000",34.300000000000004,4,97.0,78,2188,15.8,80,1
"Audi 5000",20.3,5,131.0,103,2830,15.9,78,1
"Audi 5000S (Diesel)",36.4,5,121.0,67,2950,19.900000000000002,80,1
"Audi Fox",29.0,4,98.0,83,2219,16.5,74,1
"BMW 2002",26.0,4,121.0,113,2234,12.5,70,1
"BMW 320i",21.5,4,121.0,110,2600,12.8,77,1
"Buick Century 350",13.0,8,350.0,175,4100,13.0,73,0
"Buick Century Limited",25.0,6,181.0,110,2945,16.400000000000002,82,1
"Buick Century Luxus (Wagon)",13.0,8,350.0,150,4699,14.5,74,0
