Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
2013.0,1.0,1.0,0.0,2013.0,1.0,1.0,5.0,0,2895.6,1,0.9,1,,,,,2895.5999,3352.8,,,,,-5,0.5447,,1013.0917,,,,3.3,16.0934,,,,,,,,,,,,,0,,,,,2.57
2013.0,1.0,1.0,1.0,2013.0,1.0,1.0,6.0,0,3048,1,1,,,,,,3048,,,,,,-4.4,0.5463,,1012.0759,,,,3.9,16.0934,,,,,,,,,,,,,0,,,260,9.77,4.63
2013.0,1.0,1.0,2.0,2013.0,1.0,1.0,7.0,0,1828.8,1,1,,,,,,1828.7999,,,,,,-3.3,0.619,,1012.4145,,,,3.3,16.0934,,,,,,,,,,,,,0,,,,7.72,1.54
2013.0,1.0,1.0,3.0,2013.0,1.0,1.0,8.0,0,1463,1,1,,,,,,1463.04,,,,,,-2.8,0.6159,,1012.4145,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,,3.09
2013.0,1.0,1.0,4.0,2013.0,1.0,1.0,9.0,0,1402.1,1,1,,,,,,1402.08,,,,,,-2.8,0.6159,,1012.7531,,,,3.9,16.0934,,,,,,,,,,,,,0,,,260,,4.12
2013.0,1.0,1.0,5.0,2013.0,1.0,1.0,10.0,0,1524,1,1,,,,,,1524,,,,,,-2.8,0.6159,,1012.4145,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,,3.09
2013.0,1.0,1.0,6.0,2013.0,1.0,1.0,11.0,0,1524,1,1,,,,,,1524,,,,,,-3.3,0.5934,,1012.0759,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,9.26,3.09
2013.0,1.0,1.0,7.0,2013.0,1.0,1.0,12.0,0,1524,1,1,,,,,,1524,,,,,,-3.3,0.5934,,1012.4145,,,,3.9,16.0934,,,,,,,,,,,,,0,,,260,9.26,4.63
2013.0,1.0,1.0,8.0,2013.0,1.0,1.0,13.0,0,1524,1,1,,,,,,1524,,,,,,-2.8,0.6425,,1012.4145,,,,3.3,16.0934,,,,,,,,,,,,,0,,,260,,3.09
2013.0,1.0,1.0,9.0,2013.0,1.0,1.0,14.0,0,1524,1,0.9,1,,,,,1524,3657.5999,,,,,-2.8,0.6159,,1012.4145,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,9.26,3.09
2013.0,1.0,1.0,10.0,2013.0,1.0,1.0,15.0,0,,0.25,0.25,,,,,,1432.5599,,,,,,-2.8,0.6159,,1013.0917,,,,3.9,16.0934,,,,,,,,,,,,,0,,,260,7.72,4.63
2013.0,1.0,1.0,11.0,2013.0,1.0,1.0,16.0,0,1341.1,1,1,,,,,,1341.12,,,,,,-2.8,0.6159,,1012.7531,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,,2.57
2013.0,1.0,1.0,12.0,2013.0,1.0,1.0,17.0,0,1097.3,1,1,,,,,,1097.28,,,,,,-3.3,0.5934,,1011.7373,,,,3.9,16.0934,,,,,,,,,,,,,0,,,,7.2,2.06
2013.0,1.0,1.0,13.0,2013.0,1.0,1.0,18.0,0,944.9,1,1,,,,,,944.88,,,,,,-3.9,0.6131,,1011.7373,,,,2.8,16.0934,,,,,,,,,,,,,0,,,300,9.77,4.12
2013.0,1.0,1.0,14.0,2013.0,1.0,1.0,19.0,0,1097.3,1,1,,,,,,1097.28,,,,,,-3.9,0.6131,,1011.0601,,,,2.8,16.0934,,,,,,,,,,,,,0,,,,,0
2013.0,1.0,1.0,15.0,2013.0,1.0,1.0,20.0,0,1524,0.9,0.9,,,,,,1524,,,,,,-4.4,0.5699,,1011.0601,,,,3.3,16.0934,,,,,,,,,,,,,0,,,,,3.09
2013.0,1.0,1.0,16.0,2013.0,1.0,1.0,21.0,0,,0.5,0.5,,,,,,1432.5599,,,,,,-6.1,0.5009,,1012.0759,,,,3.3,16.0934,,,,,,,,,,,,,0,,,,,3.09
2013.0,1.0,1.0,17.0,2013.0,1.0,1.0,22.0,0,,0,0,,,,,,,,,,,,-7.8,0.475,,1012.4145,,,,2.2,16.0934,,,,,,,,,,,,,0,,,310,9.26,4.63
2013.0,1.0,1.0,18.0,2013.0,1.0,1.0,23.0,0,,0,0,,,,,,,,,,,,-8.9,0.4518,,1013.7689,,,,1.7,16.0934,,,,,,,,,,,,,0,,,,,2.06
2013.0,1.0,1.0,19.0,2013.0,1.0,2.0,0.0,0,,0,0,,,,,,,,,,,,-9.4,0.4702,,1014.446,,,,0.6,16.0934,,,,,,,,,,,,,0,,,310,,2.57
2013.0,1.0,1.0,20.0,2013.0,1.0,2.0,1.0,0,,0,0,,,,,,,,,,,,-10,0.4684,,1014.7847,,,,0,16.0934,,,,,,,,,,,,,0,,,,,2.06
2013.0,1.0,1.0,21.0,2013.0,1.0,2.0,2.0,0,,0,0,,,,,,,,,,,,-10.6,0.4839,,1015.4619,,,,-1.1,16.0934,,,,,,,,,,,,,0,,,,,3.09
2013.0,1.0,1.0,22.0,2013.0,1.0,2.0,3.0,0,,0,0,,,,,,,,,,,,-11.1,0.486,,1016.1391,,,,-1.7,16.0934,,,,,,,,,,,,,0,,,310,9.77,5.14
2013.0,1.0,1.0,23.0,2013.0,1.0,2.0,4.0,0,,0,0,,,,,,,,,,,,-12.8,0.4597,,1016.8163,,,,-2.8,16.0934,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,0.0,2013.0,1.0,2.0,5.0,0,,0,0,,,,,,,,,,,,-12.2,0.501,,1016.8163,,,,-3.3,16.0934,,,,,,,,,,,,,0,,,300,,2.57
2013.0,1.0,2.0,1.0,2013.0,1.0,2.0,6.0,0,,0,0,,,,,,,,,,,,-12.2,0.524,,1016.8163,,,,-3.9,16.0934,,,,,,,,,,,,,0,,,310,8.23,4.63
2013.0,1.0,2.0,2.0,2013.0,1.0,2.0,7.0,0,,0,0,,,,,,,,,,,,-12.2,0.501,,1016.8163,,,,-3.3,16.0934,,,,,,,,,,,,,0,,,310,,4.12
2013.0,1.0,2.0,3.0,2013.0,1.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,4.0,2013.0,1.0,2.0,9.0,0,,0,0,,,,,,,,,,,,-12.8,0.5423,,1016.8163,,,,-5,16.0934,,,,,,,,,,,,,0,,,300,,4.63
2013.0,1.0,2.0,5.0,2013.0,1.0,2.0,10.0,0,,0,0,,,,,,,,,,,,-12.8,0.5423,,1017.1549,,,,-5,16.0934,,,,,,,,,,,,,0,,,,,
2013.0,1.0,2.0,6.0,2013.0,1.0,2.0,11.0,0,,0,0,,,,,,,,,,,,-12.8,0.5676,,1016.8163,,,,-5.6,16.0934,,,,,,,,,,,,,0,,,,,0
2013.0,1.0,2.0,7.0,2013.0,1.0,2.0,12.0,0,,0,0,,,,,,,,,,,,-12.8,0.5676,,1017.1549,,,,-5.6,16.0934,,,,,,,,,,,,,0,,,,,1.54
2013.0,1.0,2.0,8.0,2013.0,1.0,2.0,13.0,0,,0,0,,,,,,,,,,,,-12.8,0.5423,,1017.4935,,,,-5,16.0934,,,,,,,,,,,,,0,,,,,1.54
2013.0,1.0,2.0,9.0,2013.0,1.0,2.0,14.0,0,,0,0,,,,,,,,,,,,-12.2,0.5441,,1018.5093,,,,-4.4,16.0934,,,,,,,,,,,,,0,,,,,2.06
2013.0,1.0,2.0,10.0,2013.0,1.0,2.0,15.0,0,,0,0,,,,,,,,,,,,-12.8,0.4991,,1018.8479,,,,-3.9,16.0934,,,,,,,,,,,,,0,,,,,2.57
2013.0,1.0,2.0,11.0,2013.0,1.0,2.0,16.0,0,,0,0,,,,,,,,,,,,-12.2,0.501,,1018.5093,,,,-3.3,16.0934,,,,,,,,,,,,,0,,,280,,4.12
2013.0,1.0,2.0,12.0,2013.0,1.0,2.0,17.0,0,,0,0,,,,,,,,,,,,-11.7,0.4806,,1017.4935,,,,-2.2,16.0934,,,,,,,,,,,,,0,,,,,2.06
2013.0,1.0,2.0,13.0,2013.0,1.0,2.0,18.0,0,,0,0,,,,,,,,,,,,-11.7,0.4432,,1016.8163,,,,-1.1,16.0934,,,,,,,,,,,,,0,,,,,0
2013.0,1.0,2.0,14.0,2013.0,1.0,2.0,19.0,0,,0,0,,,,,,,,,,,,-11.7,0.4272,,1017.4935,,,,-0.6,16.0934,,,,,,,,,,,,,0,,,290,9.77,3.6
2013.0,1.0,2.0,15.0,2013.0,1.0,2.0,20.0,0,,0,0,,,,,,,,,,,,-11.7,0.409,,1017.8321,,,,0,16.0934,,,,,,,,,,,,,0,,,,,
