"Spark_Version" "Sparkling_Water_Version" "H2O_Version" "H2O_Release_Name" "H2O_Release_Patch_Number"
"1" "2.3" "2.3.27" "3.24.0.1" "rel-yates" "1"
"118" "2.3" "2.3.26" "3.22.1.6" "rel-xu" "6"
"117" "2.3" "2.3.25" "3.22.1.5" "rel-xu" "5"
"116" "2.3" "2.3.24" "3.22.1.4" "rel-xu" "4"
"115" "2.3" "2.3.23" "3.22.1.3" "rel-xu" "3"
"114" "2.3" "2.3.22" "3.22.1.2" "rel-xu" "2"
"113" "2.3" "2.3.21" "3.22.0.5" "rel-xia" "5"
"112" "2.3" "2.3.20" "3.22.0.4" "rel-xia" "4"
"111" "2.3" "2.3.19" "3.22.0.3" "rel-xia" "3"
"110" "2.3" "2.3.18" "3.22.0.2" "rel-xia" "2"
"19" "2.3" "2.3.17" "3.22.0.1" "rel-xia" "1"
"18" "2.3" "2.3.16" "3.20.0.10" "rel-wright" "10"
"17" "2.3" "2.3.15" "3.20.0.9" "rel-wright" "9"
"16" "2.3" "2.3.14" "3.20.0.8" "rel-wright" "8"
"15" "2.3" "2.3.13" "3.20.0.7" "rel-wright" "7"
"14" "2.3" "2.3.12" "3.20.0.6" "rel-wright" "6"
"13" "2.3" "2.3.11" "3.20.0.5" "rel-wright" "5"
"12" "2.3" "2.3.10" "3.20.0.4" "rel-wright" "4"
"2" "2.3" "2.3.9" "3.20.0.3" "rel-wright" "3"
"3" "2.3" "2.3.8" "3.20.0.2" "rel-wright" "2"
"4" "2.3" "2.3.7" "3.20.0.1" "rel-wright" "1"
"5" "2.3" "2.3.6" "3.18.0.11" "rel-wolpert" "11"
"6" "2.3" "2.3.5" "3.18.0.10" "rel-wolpert" "10"
"7" "2.3" "2.3.4" "3.18.0.9" "rel-wolpert" "9"
"8" "2.3" "2.3.3" "3.18.0.9" "rel-wolpert" "9"
"9" "2.3" "2.3.2" "3.18.0.8" "rel-wolpert" "8"
"10" "2.3" "2.3.1" "3.18.0.7" "rel-wolpert" "7"
"11" "2.3" "2.3.0" "3.18.0.5" "rel-wolpert" "5"
